samplename	orig_filenames	group	tissue	sex	driver	target	replicate	lane
DD1_c587_dam_F_ovary_1	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_1/DamIDseq_1_ATCACG_L007_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_1/DamIDseq_1_S43_L007_R1_001.fastq.gz"	DamIDseq_1	ovary	female	c587	dam	1	7
DD2_c587_dam_F_ovary_2	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_2/DamIDseq_2_CGATGT_L007_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_2/DamIDseq_2_S46_L007_R1_001.fastq.gz"	DamIDseq_2	ovary	female	c587	dam	2	7
DD3_c587_dam_F_ovary_3	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_3/DamIDseq_3_TTAGGC_L007_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_3/DamIDseq_3_S54_L008_R1_001.fastq.gz"	DamIDseq_3	ovary	female	c587	dam	3	7
DD4_c587_polII_F_ovary_1	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_4/DamIDseq_4_TGACCA_L007_R1_001.fastq.gz	DamIDseq_4	ovary	female	c587	polII	1	7
DD5_c587_polII_F_ovary_2	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_5/DamIDseq_5_ACAGTG_L007_R1_001.fastq.gz	DamIDseq_5	ovary	female	c587	polII	2	7
DD6_c587_polII_F_ovary_3	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_6/DamIDseq_6_GCCAAT_L007_R1_001.fastq.gz	DamIDseq_6	ovary	female	c587	polII	3	7
DD7_tub_dam_F_whole_1	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_7/DamIDseq_7_CAGATC_L007_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_7/DamIDseq_7_S41_L007_R1_001.fastq.gz"	DamIDseq_7	whole	female	tub	dam	1	7
DD8_tub_polII_F_whole_1	/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_8/DamIDseq_8_ACTTGA_L007_R1_001.fastq.gz	DamIDseq_8	whole	female	tub	polII	1	7
DD9_c587_dam_M_testis_1	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_9/DamIDseq_9_GATCAG_L007_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_9/DamIDseq_9_S50_L008_R1_001.fastq.gz"	DamIDseq_9	testis	male	c587	dam	1	7
DD10_e132_dam_M_testis_2	"/data/Oliverlab/fastq/151020_run0437/Sample_DamIDseq_10/DamIDseq_10_TAGCTT_L007_R1_001.fastq.gz,/data/Oliverlab/fastq/160111_run0456/Sample_DamIDseq_10/DamIDseq_10_S44_L007_R1_001.fastq.gz"	DamIDseq_10	testis	male	e132	dam	2	7
